run_id	system.params.theta
theta_01	0.036868195073539105
theta_02	0.04608524384192388
theta_03	0.055302292610308654
theta_04	0.06451934137869343
theta_05	0.07373639014707821
theta_06	0.08192932238564246
theta_07	0.0901222546242067
theta_08	0.09831518686277094
theta_09	0.10650811910133519
theta_10	0.11470105133989944
theta_11	0.12289398357846368
theta_12	0.13108691581702792
theta_13	0.13927984805559218
theta_14	0.14747278029415642
